"Date","Price","Open","High","Low","Vol.","Change %"
"May 01, 2019","1,284.20","1,285.20","1,289.40","1,274.50","275.43K","-0.12%"
"Apr 30, 2019","1,285.70","1,281.90","1,288.20","1,281.50","239.44K","0.33%"
"Apr 29, 2019","1,281.50","1,289.00","1,289.10","1,279.90","208.96K","-0.57%"
"Apr 26, 2019","1,288.80","1,279.10","1,290.90","1,276.00","278.89K","0.71%"
"Apr 25, 2019","1,279.70","1,277.90","1,284.80","1,275.20","237.15K","0.02%"
"Apr 24, 2019","1,279.40","1,274.40","1,280.70","1,270.50","246.05K","0.49%"
"Apr 23, 2019","1,273.20","1,277.00","1,278.50","1,267.90","280.34K","-0.34%"
"Apr 22, 2019","1,277.60","1,278.00","1,281.90","1,275.70","136.44K","-0.02%"
"Apr 19, 2019","1,277.90","1,277.90","1,277.90","1,277.90","-","0.15%"
"Apr 18, 2019","1,276.00","1,276.20","1,279.70","1,273.00","229.63K","-0.06%"
"Apr 17, 2019","1,276.80","1,279.50","1,282.10","1,275.20","223.36K","-0.03%"
"Apr 16, 2019","1,277.20","1,290.80","1,291.70","1,275.50","326.51K","-1.09%"
"Apr 15, 2019","1,291.30","1,294.00","1,295.20","1,285.30","232.99K","-0.30%"
"Apr 12, 2019","1,295.20","1,295.80","1,299.10","1,293.20","192.49K","0.15%"
"Apr 11, 2019","1,293.30","1,312.40","1,313.10","1,292.90","324.74K","-1.57%"
"Apr 10, 2019","1,313.90","1,308.20","1,314.70","1,304.70","218.88K","0.43%"
"Apr 09, 2019","1,308.30","1,301.60","1,310.40","1,300.60","200.34K","0.49%"
"Apr 08, 2019","1,301.90","1,295.80","1,307.90","1,295.50","207.57K","0.49%"
"Apr 05, 2019","1,295.60","1,296.50","1,297.80","1,288.30","231.45K","0.10%"
"Apr 04, 2019","1,294.30","1,294.40","1,298.70","1,284.90","262.54K","-0.08%"
"Apr 03, 2019","1,295.30","1,296.90","1,299.00","1,292.70","190.37K","-0.01%"
"Apr 02, 2019","1,295.40","1,292.20","1,297.10","1,289.50","196.40K","0.09%"
"Apr 01, 2019","1,294.20","1,297.20","1,301.70","1,291.00","236.66K","-0.33%"
"Mar 29, 2019","1,298.50","1,295.00","1,304.60","1,291.30","270.18K","0.25%"
"Mar 28, 2019","1,295.30","1,315.00","1,317.60","1,293.30","426.82K","-1.64%"
"Mar 27, 2019","1,316.90","1,321.70","1,325.20","1,313.70","201.61K","-0.34%"
"Mar 26, 2019","1,321.40","1,328.30","1,329.30","1,318.50","122.60K","-0.57%"
"Mar 25, 2019","1,329.00","1,319.70","1,330.80","1,317.00","85.90K","0.78%"
"Mar 22, 2019","1,318.70","1,315.40","1,320.90","1,312.80","79.64K","0.39%"
"Mar 21, 2019","1,313.60","1,318.60","1,326.30","1,309.10","61.63K","0.44%"
"Mar 20, 2019","1,307.80","1,311.80","1,323.30","1,304.30","55.44K","-0.37%"
"Mar 19, 2019","1,312.70","1,309.40","1,316.90","1,308.20","34.04K","0.38%"
"Mar 18, 2019","1,307.70","1,308.30","1,312.70","1,304.30","24.63K","-0.09%"
"Mar 15, 2019","1,308.90","1,301.90","1,312.30","1,300.10","39.41K","0.58%"
"Mar 14, 2019","1,301.40","1,315.60","1,316.60","1,299.00","31.49K","-1.09%"
"Mar 13, 2019","1,315.80","1,307.90","1,317.90","1,307.30","33.49K","0.87%"
"Mar 12, 2019","1,304.50","1,300.10","1,308.80","1,298.60","37.83K","0.53%"
"Mar 11, 2019","1,297.60","1,305.50","1,305.60","1,297.10","34.47K","-0.64%"
"Mar 08, 2019","1,306.00","1,293.20","1,307.70","1,292.20","33.72K","1.02%"
"Mar 07, 2019","1,292.80","1,293.50","1,296.10","1,287.50","51.05K","-0.11%"
"Mar 06, 2019","1,294.20","1,295.20","1,298.10","1,290.90","13.12K","0.23%"
"Mar 05, 2019","1,291.20","1,294.10","1,297.00","1,288.50","18.12K","-0.22%"
"Mar 04, 2019","1,294.00","1,301.00","1,304.60","1,290.30","13.64K","-0.90%"
"Mar 01, 2019","1,305.80","1,322.00","1,323.20","1,297.80","32.36K","-1.28%"
"Feb 28, 2019","1,322.70","1,328.00","1,335.00","1,320.60","8.31K","-0.39%"
"Feb 27, 2019","1,327.90","1,337.70","1,338.00","1,325.00","18.90K","-0.55%"
"Feb 26, 2019","1,335.20","1,336.00","1,338.80","1,332.10","8.87K","-0.07%"
"Feb 25, 2019","1,336.10","1,336.90","1,341.40","1,334.00","4.22K","-0.25%"
"Feb 22, 2019","1,339.40","1,332.40","1,342.00","1,330.30","8.27K","0.38%"
"Feb 21, 2019","1,334.30","1,348.10","1,350.70","1,330.00","6.33K","-1.48%"
"Feb 20, 2019","1,354.40","1,350.30","1,356.00","1,346.80","4.04K","0.23%"
"Feb 19, 2019","1,351.30","1,331.10","1,351.40","1,330.50","5.59K","1.64%"
"Feb 18, 2019","1,329.55","1,324.35","1,330.75","1,324.05","-","0.40%"
"Feb 17, 2019","1,324.25","1,324.65","1,324.95","1,323.85","-","-0.32%"
"Feb 15, 2019","1,328.50","1,322.00","1,332.20","1,320.70","2.83K","0.61%"
"Feb 14, 2019","1,320.40","1,316.70","1,323.70","1,311.30","3.61K","-0.09%"
"Feb 13, 2019","1,321.60","1,321.30","1,328.00","1,314.90","5.40K","0.09%"
"Feb 12, 2019","1,320.40","1,317.10","1,324.60","1,317.10","3.90K","0.15%"
"Feb 11, 2019","1,318.40","1,324.60","1,324.90","1,313.70","4.95K","-0.50%"
"Feb 08, 2019","1,325.00","1,320.50","1,325.90","1,318.20","6.48K","0.33%"
"Feb 07, 2019","1,320.70","1,317.20","1,322.20","1,313.20","5.73K","-0.02%"
"Feb 06, 2019","1,320.90","1,325.70","1,326.10","1,316.60","2.26K","-0.37%"
"Feb 05, 2019","1,325.80","1,322.40","1,327.30","1,321.50","4.21K","0.00%"
"Feb 04, 2019","1,325.80","1,329.00","1,329.50","1,319.30","2.89K","-0.21%"
"Feb 01, 2019","1,328.60","1,332.10","1,334.20","1,327.20","3.62K","-0.23%"
"Jan 31, 2019","1,331.60","1,332.00","1,337.20","1,328.80","4.30K","0.73%"
"Jan 30, 2019","1,321.90","1,323.20","1,334.90","1,320.00","8.29K","0.02%"
"Jan 29, 2019","1,321.70","1,314.90","1,323.40","1,314.50","9.66K","0.44%"
"Jan 28, 2019","1,315.90","1,314.30","1,316.20","1,309.30","9.15K","0.40%"
"Jan 25, 2019","1,310.60","1,292.80","1,315.50","1,291.70","5.62K","1.42%"
"Jan 24, 2019","1,292.30","1,294.50","1,296.30","1,288.30","6.48K","-0.34%"
"Jan 23, 2019","1,296.70","1,296.60","1,298.30","1,290.70","8.23K","0.06%"
"Jan 22, 2019","1,295.90","1,294.60","1,297.20","1,288.70","7.96K","1.32%"
"Jan 21, 2019","1,279.05","1,281.95","1,282.95","1,276.15","-","-0.23%"
"Jan 20, 2019","1,282.05","1,281.30","1,282.70","1,280.50","-","-1.02%"
"Jan 18, 2019","1,295.20","1,302.90","1,304.20","1,292.60","2.95K","-0.75%"
"Jan 17, 2019","1,305.00","1,306.30","1,307.60","1,301.10","3.83K","-0.12%"
"Jan 16, 2019","1,306.60","1,302.70","1,307.80","1,300.80","5.18K","0.41%"
"Jan 15, 2019","1,301.30","1,305.10","1,307.80","1,300.10","5.17K","-0.25%"
"Jan 14, 2019","1,304.60","1,302.00","1,309.00","1,302.00","6.55K","0.15%"
"Jan 11, 2019","1,302.70","1,300.10","1,308.40","1,300.10","6.65K","0.17%"
"Jan 10, 2019","1,300.50","1,306.50","1,310.50","1,300.10","8.06K","-0.34%"
"Jan 09, 2019","1,304.90","1,300.30","1,307.60","1,293.80","4.56K","0.47%"
"Jan 08, 2019","1,298.80","1,303.70","1,303.70","1,293.00","6.38K","-0.31%"
"Jan 07, 2019","1,302.90","1,298.90","1,309.00","1,298.50","1.82K","0.32%"
"Jan 04, 2019","1,298.70","1,308.60","1,312.90","1,291.00","1.85K","-0.69%"
"Jan 03, 2019","1,307.70","1,304.50","1,308.80","1,299.50","2.62K","0.83%"
"Jan 02, 2019","1,296.90","1,297.20","1,303.40","1,293.50","2.27K","1.06%"
"Jan 01, 2019","1,283.35","1,284.70","1,284.75","1,282.85","-","-0.84%"
